TIPO,OBSERVACION
Semi-restringido(previo permiso),"Para visitas guiadas para recorrido, consultas de precios y coordinaciones previas, al teléfono 998080006."
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/.8.00; Niños: s/.3.00; Estudiante zona rural: s/.3.00;
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa adultos S/5.00 Tarifa niños S/2.00
Libre,Para mayor información contactarse con la Gerencia de Desarrollo Económico y Turismo (01) 2137296 Anexo 1036
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Otros (especificar)","-Extranjeros: S/30.00 -Nacionales: Adultos:S/15.00, Niños: S/8.00 -Locales: Adultos: S/8.00, Niños: S/8.00 *Menores de 5 años: Ingreso libre#Exoneración de pagos de derecho de ingreso a guías oficiales de turismo y a personas con discapacidad que presenten la acreditación respectiva"
Semi-restringido(previo permiso),"El ingreso a la Reserva, es previa solicitud dirigido al Jefe de la Reserva Comunal Airo Pai - Ing. Cesar Teófilo Lanza Rodríguez - Cel. 949863380 - clanza@sernanp.gob.pe"
Libre,previa coordinacion con las autoridades del caserío Paujil quienes custodian los petroglifos.
Libre,
Libre,"Cuenta con estacionamiento, el mismo que cuenta con un costo de ingreso de S/.03.00 (Tres soles)."
Semi-restringido(previo permiso),"Solicitar permiso para ingresar al interior de la Iglesia, coordinar con el Sr. Omar Luis Vargas al Cel. 937346367"
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El costo de Ingreso es de S/1.50 (entrada general)
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,Se recomienda visitar la Oficina de Turismo de la Municipalidad Distrital Chetilla.
Libre,
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),La atención es de Lunes a Sábado previa coordinación. Contacto: 962 661 356
Libre,La iglesia permanece abierta al público.
Libre,
Libre,
NA,NA
NA,NA
Libre,
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/.10.00 entrada general y S/.8.00 niños.
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,Lunes - Domingo
Libre,
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/.6.00 entrada general
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Visitantes nacionales: Adultos: S/ 10.00 Niños de 6 a 10 años: S/ 5.00 Visitantes extranjeros: Adultos: S/ 20.00 Niños de 6 a 10 años: S/ 10.00
Libre,
Libre,
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Previa reserva al celular 996606129
Libre,
NA,NA
Semi-restringido(previo permiso),"Para visitas guiadas, coordinaciones previas y consultas de precios, llamar al teléfono 5052654"
Libre,
Libre,Costo de ingreso general S/ 2.00 soles
Libre,
NA,NA
Libre,Se recomienda la visita de 8:00 am a 5:00 pm
Libre,Se recomienda la visita de 8:00 am a 5:00 pm
Libre,
NA,NA
NA,NA
Libre,Se recomienda la visita de 8:00 am a 4:00 pm
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/ 5.00 - Niños S/ 3.00. Para visitas guiadas previa coordinación con encargado de turismo Sr. Kevin Jiménez, celular 932624458."
Libre,Lunes - Domingo
Semi-restringido(previo permiso),"Costo de ingreso al visitante es de S/. 10 soles incluye una taza de café y plátanos asado con queso, contactarse con la señora Marisa al Celular 962510012"
Libre,"Para coordinar visitas grupales y/o orientación, deben contactarse con el Sr. Aldo Toledano Guerra, personal de la Municipalidad Distrital de Totos. Cel. 966565758."
Libre,
Libre,Se recomienda la visita de 8:00 am a 5:00 pm
Libre,Se recomienda la visita de 8:00 am a 5:00 pm
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),"Previa coordinacion con los propietarios ya sea para alimentacion, hospedaje o compra de peces."
Libre,
Libre,Entrada General S/ 2.00 soles.
Libre,Se recomienda visitar en el siguiente horario: 08:00 a.m. - 05:00 p.m.
NA,NA
NA,NA
Libre,
Libre,Se recomienda la visita de 8:00 am a 5:00 pm
NA,NA
Libre,
Libre,
Libre,
Libre,"Se recomienda ir en el siguiente horario: 08:00 a.m. - 05:00 p.m., con una persona que tenga conocimiento de la ruta."
Libre,Entrada General S/ 2.00 soles
Libre,Se recomeinda visitar en el siguiente horario: 08:00 a.m. - 05:00 p.m.
NA,NA
Semi-restringido(previo permiso),Previo permiso y horario de culto
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La tarifa general de ingreso es de 5 soles.
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona. Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
NA,NA
NA,NA
Libre,Horario de Culto
Semi-restringido(previo permiso),Horario de Culto
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona.#Entrada libre para pobladores de la zona. Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona.#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
Semi-restringido(previo permiso),"Contactar con José Arrollo 957395633 Considerar un cobro para los fines de semana o días festivos, otros días es ingreso libre. Adultos 5.00 soles y niños 3.00 soles."
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona.#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/.70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Libre ingreso para los lugareños de la zona#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiante y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Libre para los lugareños de la zona#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada libre para pobladores de la zona#Esta Incluido dentro del Boleto Turístico del Valle del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Libre para los lugareños de la zona#Esta Incluido dentro del Boleto Turístico del Colca, Extranjeros S/. 70 y S/. 40.00, Nacionales S/. 20.00, Estudiantes y Niños S/. 5.00"
NA,NA
Semi-restringido(previo permiso),"Se deberá coordinar la visita con la señora Celia Cuadros, pobladora del centro poblado de Pampa Blanca, al teléfono celular N.° 973 923 074."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Cobro de entrada general 1.00 por perosna.
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El costo de ingreso es el siguiente: adultos nacionales S/ 5.00, adultos extranjeros S/ 10.00 y niños menores de 8 años S/ 2.50."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","-s/. 10.00 adultos -s/. 8.00 adultos mayores de 60 años -s/. 5.00 niños, mayores de 4 años"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La tarifa de ticket Adultos : S/ 10 Niños : S/10
Semi-restringido(previo permiso),"Coordinar con el alcalde del centro poblado menor de Lauramarca, señor Ignacio Chillihua, al número de celular 973-645462."
Semi-restringido(previo permiso),"Coordinar con el alcalde del centro poblado menor de Lauramarca, señor Ignacio Chillihua.Número de celular: 973 645 462."
Semi-restringido(previo permiso),"Se deberá coordinar con el alcalde del centro poblado menor de Lauramarca, señor Ignacio Chillihuani, al número de celular 973 645 462.”"
Libre,
Libre,"Se realiza un pago de 20 soles por el acceso al sector del Ausangate; sin embargo, este costo no corresponde específicamente al ingreso a la laguna como recurso turístico."
Libre,
Semi-restringido(previo permiso),"Coordinar con el alcalde del centro poblado menor de Lauramarca, señor Ignacio Chillihua. Número de celular: 973 645 462."
Libre,
Libre,Se recorren libremente los ambientes de exposición/venta y el área interpretativa del taller de textiles.
NA,NA
Libre,
Libre,
Libre,"No se recomienda visitarlas durante los meses de enero y febrero debido al incremento del caudal y las intensas lluvias, lo que representa un riesgo para los visitantes."
Libre,
Libre,El contacto es con el señor Cirilo Galvez Ramos al celular 966694378.
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general: S/ 3.00. Niños hasta los 12 años no pagan.
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Semi-restringido(previo permiso),Previa coordinación con el hijo del propietario: Gino Morveli - Cel. (953 446 065)
Libre,
NA,NA
NA,NA
NA,NA
Libre,"El camino de ingreso es de tierra afirmada, susceptible a la erosión o lodazales. Su infraestructura no está definida, lo que dificulta la orientación del visitante"
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños: s/ 2.00 soles y Adultos s/3.00 soles.
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa presentación de boleto o ticket emitido por AUTOCOLCA para su jurisdicción
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Su tarifa es de: Niño: S/. 1.00 Adultos: S/. 2.00
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"Previo permiso de la autoridad del centro poblado de Ccarhuaccocco, sr. Ademir telefono 918737814"
Semi-restringido(previo permiso),Previa coordinacion con la comunidad de Chauchura Carlos Jayo alcalde Telefono 988467871
Semi-restringido(previo permiso),Previa coordinación con el presidente de la comunidad Prof. Llamocca telf. 928 139 693.
Libre,
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con Flor Asalde Ventura, al celular 901 631 903 o correo electrónico florasaldevent@gmail.com O con Cecilia Asalde, Presidenta de la Asociación Valle de las Pirámides 912650103."
Semi-restringido(previo permiso),previa coordinacion con las autoridades del distrito Telf. 988467871 Carlos Jayo
Libre,
Libre,No hay restricción al Río
Libre,No hay restricción
Libre,
Otros (especificar),"Solo se puede observar por fuera, y durante celebraciones litúrgicas especiales y todos los domingos 10:00 am"
Libre,
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),"Coordinaciones previas, contactar con la Srta. Ana Arias N° 941606915"
Libre,"El ingreso es libre, respetando el horario que ha designado la administración de lunes a viernes de 8am. A 7pm. Sábados y domingos de 8am. A 1pm."
Libre,
Libre,El recepcionista en el lugar el Sr. Elmer Toro Montenegro.- Cel.956434715
NA,NA
Semi-restringido(previo permiso),Previa coordinación con el presidente de la comunidad Sr. Alejandro Huamán Telf. 974 537 609.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifario: Niños: S/5 ,Adultos: S/.10"
Semi-restringido(previo permiso),Previa coordinación con el Alcalde Sr. Raul Flores telf. 966 101 574
Libre,El ingreso es por la avenida principal de Quequeña a solo 700 metros antes de llegar a la plaza de Quequeña.
Semi-restringido(previo permiso),"Solicitud al Contralmirante César Tello Berenstein, Comandante Quinta Zona Naval - Encargado del buque, Capitán de Corbeta Franco Piazzini Santillana - Cel. 940901411 - Correo piazzinifranco@gmail.com"
NA,NA
NA,NA
Otros (especificar),"Previa coordinación con el propietario de la casona, contactar con el Nro +51 991 101 268"
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),"Perdir permiso a la señora Capillera Maria Coronel Parra, comunicarse al numero 942481697"
Libre,
Libre,
Libre,"El acceso es libre para los visitantes, pero existe un cerco perimétrico que protege el recurso turístico."
Libre,
Semi-restringido(previo permiso),Para ingresar a la Capilla coordinar con la Sra. Hilaria Espinoza / Cel. 963 959 151
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",LA TARIFA ES: S/5 SOLES NIÑOS Y S/10 SOLES ADULTO
Semi-restringido(previo permiso),Coordinar la visita con el encargado René Berrocal Montalvo. al cell 959046988
Semi-restringido(previo permiso),Para ingresar a la capilla hay que coordinar con la Capillera Sr. Jhanet Arellano / Cel. 963 981 638
Semi-restringido(previo permiso),"Para visitas guiadas, consultas y coordinaciones previas, mediante llamadas o mensajes al whastapp: 945 261 707"
Libre,"Se recomienda llevar cámara fotográfica, bloqueador solar"
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tours Estadio Alejandro Villanueva, venta de entradas: www.joinnus.com. Tarifario: Público general S/ 50.00; menores de 10 años S/ 20.00; personas con discapacidad (CONADIS) S/ 20.00"
Libre,
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Coordinar directamente con el párroco del templo al número 914981287.
Libre,
Libre,
Libre,
Libre,"Se recomienda llevar ropa cómoda, protector solar, gorra, gafas, agua, snacks, calzado de senderismo y bolsa para la basura."
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Coordinación con la señora Katy celular: 940307725
NA,NA
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S./5.00 Niños: S./1.50 Escolares: S./1.00 Universitarios: S./ 3.00 Adulto mayor: Mayores de 60 años ingreso libre
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),ingreso previo permiso y coordinación con el Sr. Anibal Elmo Pando Suarez encargado del Santuario. N° de cel 925273779
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,Coordinar con el Sr. Eduardo Flores - Presidente del Comité de Fiesta.
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La entrada al circuito es de S/ 5.00 nuevos soles para todo tipo de público.
Libre,
Libre,Coordinar con la asociación Campestre Turístico Medicinal Quilca contacto a 935343360 - el pago es según la voluntad del usuario.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La entrada al circuito es de S/ 5.00 nuevos soles para todo tipo de público.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",La entrada al circuito es de S/ 5.00 nuevos soles para todo tipo de público.
